Wall time,Step,Value
1684777567.238402,23356,2.793471097946167
1684777727.83234,46713,2.4450175762176514
1684777888.8354027,70070,2.2865543365478516
1684778053.4212182,93427,2.187711715698242
1684778218.4107165,116784,2.1196274757385254
1684778380.9868107,140141,2.067298173904419
1684778540.5823314,163498,2.026703357696533
1684778699.9557273,186855,1.9933812618255615
1684778863.3253403,210212,1.9661989212036133
1684779024.4353654,233569,1.9434775114059448
1684779186.5209634,256926,1.9230833053588867
1684779348.8769205,280283,1.9051254987716675
1684779509.9255874,303640,1.8899459838867188
1684779674.0305457,326997,1.8758151531219482
1684779835.263313,350354,2.841992139816284
1684779996.1535947,373711,3.2027809619903564
1684780158.5447247,397068,3.262228012084961
1684780319.5744853,420425,3.1971471309661865
1684780479.2492163,443782,3.34468674659729
